Ticker,Link,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Data Date
FSTA.L,https://uk.finance.yahoo.com/quote/FSTA.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
FUTR.L,https://uk.finance.yahoo.com/quote/FUTR.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
GFRD.L,https://uk.finance.yahoo.com/quote/GFRD.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
GAW.L,https://uk.finance.yahoo.com/quote/GAW.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
GCP.L,https://uk.finance.yahoo.com/quote/GCP.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
GNS.L,https://uk.finance.yahoo.com/quote/GNS.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
GOT.L,https://uk.finance.yahoo.com/quote/GOT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
HSBA.L,https://uk.finance.yahoo.com/quote/HSBA.L/sustainability,25,1.4,14.8,9.3,9-2023
HVPE.L,https://uk.finance.yahoo.com/quote/HVPE.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
HL.L,https://uk.finance.yahoo.com/quote/HL.L/sustainability,20,2.1,8.6,8.8,9-2023
HWG.L,https://uk.finance.yahoo.com/quote/HWG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
HAS.L,https://uk.finance.yahoo.com/quote/HAS.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
HEAD.L,https://uk.finance.yahoo.com/quote/HEAD.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
HLCL.L,https://uk.finance.yahoo.com/quote/HLCL.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
HEFT.L,https://uk.finance.yahoo.com/quote/HEFT.L/sustainability,21,5.6,7.4,7,12-2020
HNE.L,https://uk.finance.yahoo.com/quote/HNE.L/sustainability,21,3.7,8.2,6.9,12-2020
HFEL.L,https://uk.finance.yahoo.com/quote/HFEL.L/sustainability,25,6.3,9.3,8.8,12-2020
HINT.L,https://uk.finance.yahoo.com/quote/HINT.L/sustainability,21,4.5,8.8,7.6,12-2020
HSL.L,https://uk.finance.yahoo.com/quote/HSL.L/sustainability,24,#N/A,#N/A,#N/A,12-2020
HRI.L,https://uk.finance.yahoo.com/quote/HRI.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
HGT.L,https://uk.finance.yahoo.com/quote/HGT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
